file_name,text,class
126.txt,"Rhetorical (Rhet) is a programming / knowledge representation system that offers a set of tools for building an automated reasoning system. Its emphasis is on flexibility of representation. This document extends TR 326 with more information about the internals of the Rhet system. In addition it provides the information needed for users to write their own builtin functions, or better lispfns (that use internally provided library functions).",ArtificiallIntelligence
5.txt,"Reduction is the operation of transforming a production in a Linear Context-Free Rewriting System (LCFRS) into two simpler productions by factoring out a subset of the nonterminals on the production's righthand side. Reduction lowers the rank of a production but may increase its fan-out. We show how to apply reduction in order to minimize the parsing complexity of the resulting grammar, and study the relationship between rank, fan-out, and parsing complexity. We show that it is always possible to obtain optimum parsing complexity with rank two. However, among transformed grammars of rank two, minimum parsing complexity is not always possible with minimum fan-out.",ArtificiallIntelligence
48.txt,"For years, researchers have used knowledge-intensive techniques for disambiguating during parsing. These techniques required a lot of hand-coded information, thus they would not scale to large domains. In addition, they often required the invention of pseudo-probabilities, which also do not scale, and provide ill-founded quantitative measures. The data-driven techniques, which have become popular over the past few years, seem appealing in light of this: once you have an annotated corpus, there is no need to code up knowledge bases or invent ""magic numbers."" However, these methods also have extensive failings, which we will detail. We present a framework for corpus-based syntactic disambiguation which pulls together the well-foundedness of the traditional approaches and the scalability of the corpus-based approaches. We also present a model of language production that places greater emphasis on lexical statistics.",ArtificiallIntelligence
81.txt,"Proceedings of a workshop held in conjunction with the 12th International International Conference on Machine Learning in July 1995 in Tahoe City, CA.",ArtificiallIntelligence
25.txt,"The Medication Advisor is the latest project of the Conversational Interaction and Spoken Dialogue research group at the University of Rochester. The goal of the project is an intelligent assistant that interacts with its users via conversational natural language, and provides them with information and advice regarding their prescription medications. Managing prescription drug regimens is a major problem, particularly for older people living at home who tend to have both complex medication schedules and, often, somewhat reduced faculties for keeping track of them. Patient compliance with prescribed regimens is notoriously low, leading to incorrect and sometimes harmful usage of both prescribed and over-the-counter medications. The Medication Advisor builds on our prior experience constructing conversational assistants in other domains. In addition to providing new challenges, the project allows us to validate previous efforts in areas such as portability. This brief report details our initial efforts and outlines our future direction.",ArtificiallIntelligence
46.txt,"An investigation of the referring behavior of personal and demonstrative pronouns in two corpora: a collection of problem-solving dialogs from the TRAINS93 corpus and prepared news stories from the Boston University Radio Corpus. Unlike most studies of pronominal reference, which limit themselves to pronouns that co-specify the meaning of another noun phrase (called coreference annotation), this study has a wider scope and includes all pronouns in the discourse. As a result, a broader characterization is possible for the pronouns in question. This study shows that current models of pronoun resolution that assume each pronoun to have a nominal antecedent are of limited utility when applied to spontaneous language.",ArtificiallIntelligence
76.txt,"Based on the observation that the unpredictable nature of conversational speech makes it almost impossible to reliably model sequential word constraints, the notion of {\em word set error criteria} is proposed for improved recognition of spontaneous dialogues. The single pass Adaptive Boosting (AB) algorithm enables the language model weights to be tuned using the {\em word set error} criteria. In the two pass version of the algorithm, the basic idea is to predict a {\em set} of words based on some {\em a priori} information, and perform a re-scoring pass wherein the probabilities of the words in the predicted word set are amplified or {\em boosted} in some manner. An adaptive gradient descent procedure for tuning the {\em word boosting} factor has been formulated which enables the boost factors to be incrementally adjusted to maximize accuracy of the speech recognition system outputs on held-out training data using the word set error criteria. Two novel models which predict the required word sets have been presented: {\em utterance triggers} which capture within-utterance long-distance word inter-dependencies, and {\em dialogue triggers} which capture local temporal dialogue-oriented word relations. The proposed Trigger and Adaptive Boosting (TAB) algorithm, and the single pass Adaptive Boosting (AB) algorithm have been experimentally tested on a subset of the TRAINS-93 spontaneous dialogues and the TRAINS-95 semi-spontaneous corpus, and have resulted in improved performances.",ArtificiallIntelligence
9.txt,"Research in Information Extraction has been overly focused on the extraction of facts concerning individuals as compared to general knowledge pertaining to classes of entities and events. In addition, preference has been given to simple techniques in order to enable high volume throughput.  In what follows we give examples of existing work in the field of knowledge acquisition, then follow with ideas on areas for exploration beyond the current state of the art, specifically with respect to the extraction of conditional knowledge, making use of deeper linguistic analysis than is currently the norm.",ArtificiallIntelligence
30.txt,"State of the art plan recognition for use in natural language dialogue systems has progressed in coverage of discourse phenomena and plan navigation strategies. Most systems, however, suffer from several deficiencies, namely, they do not have a specific strategy for the (inevitable) case where they make an incorrect hypothesis inference and they cannot handle interleaved plan navigation, where a user jumps back and forth between several plans. In addition, most plan recognition systems cannot handle the rich variety of possible natural language utterances a dialogue system may receive as input, especially the case where a language utterance corresponds to several actions that the system considers to be atomic. We discuss previous work in plan recognition, especially in the area of dialogues systems. We then describe a plan recognition system that can recover from incorrect inferences, handles interleaved plan navigation, and handles several linguistic phenomena, including support for natural language multi-action paraphrase.",ArtificiallIntelligence
41.txt,"Image-based object recognition systems developed recently don't require the construction of a 3D geometric model, allowing recognition of objects for which current geometric recognition technologies do not apply. Such systems are typically trained with labeled, clean views that cover the whole viewing sphere and can sometimes handle generic, visually similar classes with moderate variation. It has been little explored whether such systems can be trained from imagery that is unlabeled, and whether they can be trained from imagery that is not trivially segmentable.  In this report we investigate how an object recognition system developed previously can be trained from clean images of objects with minimal supervision. After training this system on a single or a small number of views of each object, a simple learning algorithm is able to attract additional views to the object representation, building clusters of views belonging to the same object. We explore how the learning performance improves by extending the set of views, introducing a small amount of supervision, or using more complicated learning algorithms.",ArtificiallIntelligence
56.txt,"Neurons in the visual cortex are known to possess localized, oriented receptive fields. It has previously been suggested that these distinctive properties may reflect an efficient image encoding strategy based on maximizing the sparseness of the distribution of output neuronal activities or alternately, extracting the independent components of natural image ensembles. Here, we show that a relatively simple neural solution to the problem of transformation-invariant visual recognition also causes localized, oriented receptive fields to be learned from natural images. These receptive fields, which code for various transformations in the image plane, allow a pair of cooperating neural networks, one estimating object identity (``what'') and the other estimating object transformations (``where''), to simultaneously recognize an object and estimate its pose by jointly maximizing the a posteriori probability of generating the observed visual data. We provide experimental results demonstrating the ability of these networks to factor retinal stimuli into object-centered features and object-invariant transformations. The resulting neuronal architecture suggests concrete computational roles for the neuroanatomical connections known to exist between the dorsal and ventral visual pathways.",ArtificiallIntelligence
4.txt,"Many of the previous efforts in generalizing over knowledge extracted from text have relied on the use of manually created word sense hierarchies, such as WordNet. We present initial results on generalizing over textually derived knowledge, through the use of the LDA topic model framework, as the ï¬rst step towards automatically building corpus speciï¬c ontologies.",ArtificiallIntelligence
96.txt,"Temporal projection is a crucial task in planning. In order to achieve its goals, the planner must be able to reason about the consequences of its actions. In the real world, the planner does not have complete information about the environment or even the consequences of its actions. The planner thus must be able to reason about the probabilistic nature of the world and the probabilistic effects of its action.  Interactions between actions and events in the world are not only probabilistic; they also are temporally complex. Simultaneous events can interact in many different ways depending on their temporal properties. An action's temporal relation to its preconditions and effects can also become quite complex.  Existing projection systems are weak in their representations of temporally complex actions and events in a probabilistic world. Those that can handle probabilistic situations have a limited representation of temporal relations, while those that can handle complex temporal relations generally assume the world to be completely deterministic. Moreover, the speed of existing probabilistic projection systems are low. These systems are impractical to scale up to larger problems. In this thesis, we propose a practical projection system that can handle both the probabilistic nature of the world and the temporally complex nature of actions. The projection is based on simulation methods. Projection is done by simulating possible courses of events, one at a time. The simulation traces are then collected and processed by a projection module front-end, which provides the planner and the execution monitor with probabilistic estimates of propositions' values. The representation allowed by the system is rich in both the temporal and the probabilistic aspects.",ArtificiallIntelligence
7.txt,"Existing work in the extraction of commonsense knowledge from text has been restricted to factoids that serve as statements about what may possibly obtain in the world. We present an approach to deriving stronger general claims from large sets of factoids. The idea is to coalesce the observed nominals for a given predicate argument into a few predominant types, obtained as WordNet synsets. The results can be construed as generically quantiï¬ed sentences restricting the semantic type of an argument position of a predicate.",ArtificiallIntelligence
47.txt,"Natural language generation is a knowledge-intensive, goal-directed process involving many interacting choices. Some questions that a generation system must answer include: (1) What information needs to be included in the output to satisfy the speaker's or writer's communicative goals? (2) How should a discourse contribution be structured to ensure its coherence? (3) Which modalities should be used to maximize the information exchange? (4) How can output be tailored to specific users? In this paper, we examine some aspects of natural language generation that constrain the planning process, including theories of discourse structure, models of discourse context and of users, and multimodal generation.",ArtificiallIntelligence
