file_name,text,class
Intelligence_1434272.txt,"Principal Curves Page Introduction to principal curves, with summary of and links to publications, demo, and software. ",Artificial
Intelligence_1433615.txt,"Iowa State University - Artificial Intelligence Research Laboratory Information on research, publications, and courses on artificial intelligence, machine learning, neural networks, information integration, probabilistic graphical models, bioinformatics, and Semantic Web. ",Artificial
Intelligence_1434400.txt,"Paccanaro, Alberto Learning distributed representation of concepts from relational data. ",Artificial
Intelligence_1434281.txt,"Attrasoft Provider of a number of neural network based products for image and sound recognition/retrieval, trend prediction and data mining. ",Artificial
Intelligence_1434141.txt,LibML A machine learning library. New implementations of various machine learning algorithms. [GPL] ,Artificial
Intelligence_1434179.txt,Natural Language FAQs Selected FAQ lists from Usenet groups related to natural language processing. ,Artificial
Intelligence_1434406.txt,"Saul, Lawrence K. Machine learning, pattern recognition, neural networks, voice processing, auditory computation. ",Artificial
Intelligence_1434199.txt,Eliza Web-based version of this person-centered therapist emulator. ,Artificial
Intelligence_1434311.txt,"Neal, Radford Bayesian inference, Markov chain Monte Carlo methods, evaluation of learning methods, data compression. ",Artificial
Intelligence_1434146.txt,Intelligent Software Agent Projects at Sourceforge.net A large collection of Intelligent Agent projects complete with sourcecode. [GPL] ,Artificial
Intelligence_1434418.txt,International Journal of Computational Intelligence and Applications Includes current articles and historical abstracts. ,Artificial
Intelligence_1433965.txt,"Pattern Recognition Information A hub for Pattern Recognition linking to journals, books, bibliographies, jobs, conferences and news. ",Artificial
Intelligence_1433759.txt,"SamIam: Sensitivity Analysis, Modeling, Inference and More A tool for modeling and reasoning with Bayesian networks, developed in Java by the Automated Reasoning Group of Professor Adnan Darwiche at UCLA. ",Artificial
Intelligence_1433977.txt,"Improving Accuracy by Combining Rule-based and Case-based Reasoning Abstract for full paper, PDF full text available. ""An architecture is presented for combining rule-based and case-based reasoning."" Published in Artificial Intelligence in 1996. ",Artificial
Intelligence_1433810.txt,Melanie Mitchell Currently at the Santa Fe Institute. Melanie Mitchell developed Copycat as part of her dissertation work with Douglas Hofstadter on cognitive modeling of high-level perception and analogy-making. ,Artificial
Intelligence_1433709.txt,"ESFM: Prolog Expert System for Forestry Management A small expert system developed by Steve Jones of Reading University in 1988 for forestry management. The rules are Prolog clauses. Inference is depth-first, backward-chaining, with no explanations of why ESFM asked a question nor how it came to a conclusion. ",Artificial
Intelligence_1433993.txt,"Workshop on Statistical and Machine Learning Techniques in Computer Intrusion Detection September 24-26th, 2003 at George Mason University ",Artificial
