file_name,text,class
1578510.txt,"Illinois Church Action on Alcohol and Addiction Problems State-wide substance abuse and gambling prevention organization dedicated to working with churches, schools, youth and community groups in Illinois. ",Addictions
1577747.txt,AA Statewide Meeting lists for all of Vermont. Includes conventions and service committee activities. By Area 70 of Alcoholics Anonymous. ,Addictions
1578166.txt,"Gracer Medical Group Dr. Richard Gracer is a pain and addiction management specialist located in San Ramon, California. ",Addictions
1577381.txt,"Phoenix Meetings, events, and visitor information provided by Salt River Intergroup. Covers Anthem, Avondale, Gilbert, Glendale, Maricopa, Mesa, Phoenix, Scottsdale, Sun City, Tempe, and others. Lists other intergroups nearby. ",Addictions
1578793.txt,"American River Area Narcotics Anonymous Resource for people seeking help from drug addiction in the Sacramento, California area. Includes NA meeting schedules, contact information, and helpline phone numbers. ",Addictions
1579139.txt,SubSux.com Censorship free zone to help people come off maintenance drugs and other substances. ,Addictions
1577487.txt,"Palm Beach Intergroup Explains Alcoholics Anonymous, the 12 steps, traditions and concepts, lists events and contact details. West Palm Beach and Delray Beach , FL. ",Addictions
1578667.txt,"International Nurses Society on Addictions Advances addictions nursing practice through advocacy, collaboration, education, research and policy development. Credentialing program; mentoring program; workshops and conference. Online discussion board for members. ",Addictions
1577596.txt,Duluth and Superior AA meetings in the Twin Ports area. ,Addictions
1578569.txt,Sober Ranting from Alcoholic on the Beach About his sobriety and experiences. [May not work for all browsers.] ,Addictions
1578578.txt,"Preventing Drug Abuse among Children and Adolescents An introduction to research-based prevention for those new to drug abuse prevention. Download brief or complete version of this pamphlet. By NIDA, National Institute on Drug Abuse. ",Addictions
1577640.txt,"Jefferson County Gives AA meeting lists, announcements, and contact information. Includes Watertown and the 1000 Islands. By Jefferson County Intergroup of Alcoholics Anonymous. ",Addictions
1577488.txt,Sarasota and Manatee County Central office of Sara-Mana answers the AA phone. Site has meeting lists and a calendar. ,Addictions
1577969.txt,"Western Canada Detox Centre Located in New Westminster. Provides Rapid Opiate Detoxification under anaesthesia for those with an addiction to opiates such as heroin, opium, codeine and methadone. Information on the procedure is available. ",Addictions
1578092.txt,"Decision Point Center, Inc. Offers a long term residential program for men and women. Includes details of facility, services, staff and activities. Located in Prescott. ",Addictions
