file_name,text,class
3191005.txt,"Bryant Bulldogs Official site with news, schedule, roster and statistics. ",Baseball
3193010.txt,Hirschbeck v. Alomar Covers a legal case between the player and an umpire for a called third strike and the resulting actions of the two men. ,Baseball
3190744.txt,"Mountaineers Baseball Official site. Includes press releases, pictures, a listing of players, and coaching staff. ",Baseball
3193695.txt,"M.S.H. Little League Contains news items, a listing of teams, pictures, calendar of games, results, and field directions. ",Baseball
3193486.txt,"Quotations: Bob Uecker Baseball Almanac collection of quotes from the ballplayer turned announcer, many made from the broadcast booth. ",Baseball
3191152.txt,"Eastern University Baseball Official site with news, schedule, roster and statistics. ",Baseball
3193394.txt,"Hangin with Jorge Fan site includes photos, news, statistics, and an audio/video page. ",Baseball
3192623.txt,"Clearwater Threshers The official website of the Clearwater, Florida Threshers minor league baseball team. Site contains merchandise, news items, roster, calendar of games, results and tickets. ",Baseball
3193374.txt,SI.com - Robert Person Profile and statistics. ,Baseball
3192431.txt,Topix News headline feeds from worldwide media sources. ,Baseball
3190164.txt,"The Indianapolis Hoosiers Vintage Base Ball Club Photos, players, schedule and photos of vintage base ball cards. ",Baseball
3191045.txt,"East Stroudsburg University Baseball Official site of the Warriors with news, schedule, roster and statistics. ",Baseball
3191234.txt,"Vassar College Brewers. Includes player honors, roster, news items, a calendar of games, current standings, and statistics. ",Baseball
3192072.txt,"FOX Sports Team reports, roster, player biographies, schedule and statistics. ",Baseball
3190686.txt,"Quakers Baseball Official site includes news, schedule, rosters, and statistics. ",Baseball
3193554.txt,"The Forum A place discuss women's baseball. [English, French and Spanish] ",Baseball
3191331.txt,"Wisconsin Lutheran Warriors Official site with news, schedule, roster and statistics. ",Baseball
3190862.txt,"Hornet Baseball Official site includes news, schedule, roster, and statistics. ",Baseball
3193336.txt,"The Baseball Page Information about the player including teams played for, statistics, honors, and best season. ",Baseball
3192845.txt,Tacoma Rainiers Official website of the Class AAA baseball team. ,Baseball
3192963.txt,Baseball and Umpire Links Link directory of baseball rules and umpiring resources. ,Baseball
3190328.txt,"Milligan (Tennessee) Buffaloes Official site with news, schedule, roster and statistics. ",Baseball
3192134.txt,"FOX Sports Offers news, standings, statistics, schedules, audio files and message boards. ",Baseball
3191998.txt,The Soxaholix Amusing cartoons from the life of a fan. ,Baseball
3193840.txt,"Peotone Baseball Located in Peotone, Illinois. This baseball league is for ages 5 through 14. Includes calendar, divisions, rule information, schedules, standings and related links. ",Baseball
3193824.txt,"District 10-Washington Little League Listing of staff, safety tips, a listing of tournaments, special events, and registration. ",Baseball
3193221.txt,"ESPN.com: Mike Hampton Player profile, career statistics and scouting report. ",Baseball
3191895.txt,Brian's Strat-O-Matic Ballparks Images of ballparks that are intended to supplement the Strat-O-Matic baseball game. ,Baseball
3190733.txt,"Cougars Baseball Official site includes news, schedule, rosters, and statistics. ",Baseball
3193948.txt,"Littleton Youth Baseball League rules, coaching tips and team schedule. ",Baseball
3193627.txt,"Dizzy Dean Baseball, Inc. Official site includes league information, rules, tournament hosts, sponsors, and related links. ",Baseball
3191780.txt,Baseball Canada Official source for Canadian National team news and players information. Offers schedules for national and international tournaments. ,Baseball
3192028.txt,WEEI Red Sox 360 Homepage News and opinion from the radio broadcaster of games. ,Baseball
3192832.txt,"Nashville Sounds Mailing List Discussing Nashville's AAA baseball team, at Yahoo Groups. ",Baseball
3193484.txt,"Tsao Chin-Hui fanpage A site dedicated to Taiwanese-born Tsao Chin-Hui. Features a short biography, news, and links. ",Baseball
3190998.txt,"Missouri Western State University Baseball Official site of the Griffons with news, schedule, roster and statistics. ",Baseball
3191042.txt,"Clarion University Official site for Golden Eagle baseball with a schedule of games, coaches' profiles, past results, a media guide, and statistics. ",Baseball
3191994.txt,"Boston Dirt Dogs Presents headlines, articles, pictures, commentary and related links. ",Baseball
3190873.txt,"Saint Michael's Purple Knights Official site with news, schedule, roster and statistics. ",Baseball
3191880.txt,"Spring Training in Scottsdale Official site for baseball's pre-season action in Scottsdale, Arizona. ",Baseball
3191678.txt,Ballpark Roadtrip Follow along as several college buddies take to the road each summer to see every MLB team and their ballpark. ,Baseball
3192743.txt,"GoErie - SeaWolves Includes news stories, schedule and photos. ",Baseball
3193788.txt,"McDowell Mountain Little League Provides general information including registration, key dates, ages, local rules, volunteers and sponsors. Also includes field locations and details about the Challenger Division. In District 6 and located in North Scottsdale. ",Baseball
3190481.txt,Shorter College Baseball Official site of the Hawks. ,Baseball
3191369.txt,"Baldwin-Wallace Yellow Jackets Official baseball site with news, schedule, roster and statistics. ",Baseball
3190722.txt,Bluejays Baseball Official site. ,Baseball
3192218.txt,"Sports Illustrated Features headlines, standings, statistics, a schedule, roster and box scores. ",Baseball
3190954.txt,"Montevallo Falcons Schedule, roster, statistics and news. ",Baseball
3193182.txt,ESPN.com: Chris George Statistics and information on Kansas City Royals pitcher Chris George. ,Baseball
3190287.txt,Oxnard College Baseball Official site of the Condors. ,Baseball
3192008.txt,Boston Red Thoughts Commentary on the latest news and happenings from a female fan living in Pennsylvania. ,Baseball
3192494.txt,"Red Bird Central Team coverage that includes news, box scores, photographs, polls, history, injury reports, schedule and team details. ",Baseball
3191967.txt,"CBS Sportsline Showcases a roster, statistics, news items, game summaries and a schedule. ",Baseball
3191865.txt,"Scores Pro Provides real time, WAP compatible MLB and international baseball scores. ",Baseball
3191405.txt,"Skyline Conference Baseball Official conference site with news, standings, and statistics. ",Baseball
3192207.txt,"Daily Lancer Blog that showcases news, analysis, links and relevant commentary concerning the team. ",Baseball
3190092.txt,"Ingersoll Renegades Play in the Tuesday Night Slo-pitch League in Ingersoll, Ontario, Canada. ",Baseball
3191014.txt,"University of Massachusetts at Lowell Baseball Official site of the River Hawks with news, schedule, roster and statistics. ",Baseball
3191883.txt,"Grapefruit League Spring Training Team headlines, scores, schedules, weather information, and park data for the 2003 season. ",Baseball
3191525.txt,Kishwaukee College Baseball The official site of the Kougars. ,Baseball
3192927.txt,Pioneer League Official website of this Advance Rookie baseball league. ,Baseball
3190467.txt,"University of Science and Arts (Oklahoma) Drovers Official site with news, schedule, roster and statistics. ",Baseball
3192482.txt,"Seattle Insider Local news coverage that offers articles, headlines, injury reports, multimedia, scores and standings. ",Baseball
3190936.txt,"Bellarmine College Official site for Knight baseball with profiles of the player, coaching staff, statistics, and records. ",Baseball
3191730.txt,"West Allis Nathan Hale Baseball Includes a schedule, roster and statistics for the Varsity, Junior Vasity and Freshmen teams. ",Baseball
3191756.txt,Mike McCann's Minor League Baseball Page Includes an exhaustive list of leagues and teams past and present. ,Baseball
3193825.txt,"District 8 Washington Little League Team notices, staff, leagues, tournaments and contacts. ",Baseball
3191385.txt,"Randolph-Macon Yellow Jackets Official site with news, schedule, roster and statistics. ",Baseball
3191377.txt,"Wilmington Quakers Official baseball site with press releases, coaching staff, statistics, a schedule of upcoming games, and past results. ",Baseball
3192724.txt,"Lexington Legends Official website for the Lexington, Kentucky minor league baseball team. An affiliate of the Houston Astros. ",Baseball
3193723.txt,"Elmsford Little League Calendars, standings, schedules, and information. Elmsford NY. ",Baseball
3193150.txt,The Ultimate Shawn Estes Website Fan site with brief biography and photos. ,Baseball
3191579.txt,"Sharks Wilmington Includes news, photo gallery, online store, schedule, standing, roster, and directions for this team based in North Carolina. ",Baseball
3193000.txt,"The National Baseball Hall of Fame and Museum Features news and information on the hall of fame, including visitor, exhibit, collection, hall of famer, honoree, library, and education program information. ",Baseball
3191578.txt,"Swampdogs Fayetteville Includes news, game recaps, photo gallery, online store, schedule, photos, results, standings, and roster for this team based in North Carolina. ",Baseball
3193679.txt,"North Cambridge Little Baseball League History, team pages, standings, and photos of the Cambridge, MA league. ",Baseball
3190437.txt,"Central Christian College Baseball Tigers - official site with schedule, roster, profiles and team picture. ",Baseball
3190173.txt,"Arizona Territories Vintage Base Ball League Information on rules, teams, schedule and results, plus photos and links to merchandise sites. ",Baseball
3193732.txt,"D4-Pittsburg National Little League Contains related links, an umpire page, team pictures, news items, and sound files. ",Baseball
3192709.txt,"South Atlantic League Website for this Class-A baseball league at MinorLeagueBaseball.com. Scores, standings, statistics, team information, contact information. ",Baseball
3193228.txt,"Hillenbrand, Shea Includes photos and profile. Also features Red Sox schedule. ",Baseball
3193904.txt,"Fairfield Tigers Southwestern Ohio 14U AABC team. 1999/2000 league champions. Includes roster, news, fundraiser events, and photos. ",Baseball
3192759.txt,"Birmingham Barons Official site of the AA Minor League Baseball team, which plays in Hoover Metropolitan Stadium. ",Baseball
3190811.txt,"Sam Houston State University Baseball Includes news, schedule, rosters, statistics and pictures. ",Baseball
3192319.txt,"NY Sports Day Independent coverage of the team that includes images, schedule, rumor mill, message boards and links. ",Baseball
3192569.txt,"USA Today Includes statistics, news, schedule and results, as well as club records and a prospect report. ",Baseball
3190876.txt,"Cal State Monterey Bay Baseball Otters - official site with news, schedule, roster, statistics, and coaching staff. ",Baseball
3193288.txt,Matt Mantei: The Iceman Cometh... Photos and up to date statistics. ,Baseball
3190805.txt,"Southland Conference Baseball Official site with news, statistics and standings. ",Baseball
3192804.txt,SLAM! Baseball: Ottawa Lynx Lynx coverage from Slam Sports and the Canoe Network. ,Baseball
3190390.txt,"University of Mobile Baseball Contains news, schedule, roster and statistics for the Rams. ",Baseball
3192861.txt,"Saint Paul Saints Official website of the Saint Paul, Minnesota Saints minor league baseball team. ",Baseball
3190663.txt,"Crusaders Baseball Official site includes news, schedule, rosters, and statistics. ",Baseball
3190824.txt,University of Arkansas at Pine Bluff Baseball Official site of the Golden Lions. ,Baseball
3193462.txt,"Alfonso Soriano Online Shrine Player profile with news, statistics and biography. ",Baseball
3190703.txt,"Bulls Baseball Official site includes news, schedule, rosters, and statistics. ",Baseball
3193446.txt,"Nolan Ryan Express Biographical information, news, letters, quotes, collectibles, statistics, and chat. ",Baseball
3190160.txt,"The Cleveland Blues Base Ball Club Cleveland Ohio 1860s team provides Blues history, schedule, roster and information on vintage base ball rules, equipment and vocabulary. ",Baseball
3193686.txt,"D1-Randolph Little League Site contains a message board, current standings, pictures, upcoming events, registration details, and sponsorship forms. ",Baseball
3191284.txt,"Saint Olaf Oles Official baseball site with news, schedule, roster and statistics. ",Baseball
3192203.txt,Topix News headline feeds from worldwide media sources. ,Baseball
3191387.txt,"Washington and Lee Generals Official site with news, schedule, roster and statistics. ",Baseball
3191161.txt,"Anna Maria College Baseball Official site of the Amcats with news, schedule, roster and statistics. ",Baseball
3190881.txt,"Cal Poly Pomona Baseball Broncos - official site with news, schedule, roster, statistics, and coaching staff. ",Baseball
3193631.txt,Little League Tournament Sites Historical tournament coverage for Canada and US Regions. ,Baseball
3192364.txt,New York Yankees News Feeds Links to various news feeds from websites around the internet. ,Baseball
3191223.txt,"Catholic University Cardinals Official baseball site with news, schedule, roster and statistics. ",Baseball
3192366.txt,"Jen's Oakland A's Page Offers images, statistics, links and detailed features on Eric Chavez, Mark Mulder, Eric Byrnes and Barry Zito. ",Baseball
3192950.txt,"RobNeyer.com The official site of ESPN baseball journalist Rob Neyer. Features regular columns from Rob and others. Heavy focus is on the Kansas City Royals, of which Neyer is a die-hard fan. He's also written a book called ""Baseball Dynasties"" and does radio appearances on ESPN Radio. ",Baseball
3191294.txt,"Augsburg Auggies Official baseball site with news, schedule, roster and statistics. ",Baseball
3190252.txt,Lassen Community College Baseball Official site of the Cougars. ,Baseball
3193506.txt,CNNSI: David Wells Profile and statistics. ,Baseball
3191704.txt,"Arundel Baseball Wildcats Arundel varsity baseball players past and present, Arundel, MD. ",Baseball
3190233.txt,Mission College Baseball Official site. ,Baseball
3191322.txt,Rutgers-Camden Baseball Official site of the Scarlet Raptors. ,Baseball
3191153.txt,"College Misericordia Official site with news, schedule, roster and statistics. ",Baseball
3192652.txt,"Dayton Dragons Official website of the Dayton, Ohio Dragons minor league baseball team. ",Baseball
3193412.txt,"Jim Rice for the Baseball Hall of Fame Career statistics, achievements, and why the author believes this former Boston Red Sox star deserves to be in the Baseball Hall of Fame. ",Baseball
3193743.txt,"District 3-Central Coventry Little League Board members, news items, and standings. ",Baseball
3191351.txt,"Wittenberg Tigers Official baseball site with news, schedule, roster and statistics. ",Baseball
3191112.txt,"East Texas Baptist Tigers Official baseball site with news, schedule, roster and statistics. ",Baseball
3191549.txt,National Baseball Congress One of the largest administrative bodies for summer leagues and non-professional baseball. ,Baseball
3190207.txt,Napa Valley College Baseball Official site of the Storm. ,Baseball
3191965.txt,"Sports Illustrated Features headlines, standings, statistics, schedule, roster and box scores. ",Baseball
3193167.txt,Baseball Clubhouse Provides player statistics and baseball cards. ,Baseball
3191345.txt,"Husson Eagles Official site with news, schedule, roster and statistics. ",Baseball
3192735.txt,OurSports Central - Altoona Curve Complete coverage of the Altoona Curve including their current schedule and results along with constantly updated news stories and press releases. ,Baseball
3192913.txt,"Bristol White Sox Official site of the Bristol, Virginia minor league baseball team with ticket information, pictures and merchandise. ",Baseball
3192173.txt,Detroit Tigers News Feeds Links to various news feeds from websites around the internet. ,Baseball
3190632.txt,"Patriot Baseball Official site includes news, schedule, roster, and statistics. ",Baseball
3192164.txt,"ESPN Provides team news, transactions, statistics, schedule, scores, rumors and opinions. ",Baseball
3191038.txt,"Slippery Rock University Baseball Contains news, schedule, roster and statistics for The Rock. ",Baseball
3191437.txt,SUNYAC Baseball Official Baseball Home Page ,Baseball
