file_name,text,class
management_data_management.a9820721.txt,an intelligent visual database system hierarchical content description and matching using integrated similarity metrics,data
management_data_management.a9116988.txt,spatio-temporal database management for global change,data
management_data_management.a9457613.txt,nyi theory and implementation of declarative database systems,data
management_data_management.a9734191.txt,pecase providing a coherent view of diverse distributed information resources,data
management_data_management.a9116798.txt,an object-oriented toolbox for use with the protein data bank (pdb),data
management_data_management.a0218377.txt,workshop idm 02 workshop,data
management_data_management.a9221276.txt,learning semantic representations for information retrieval,data
management_data_management.a9103925.txt,possibility theory in expert systems,data
management_data_management.a9521046.txt,design and evaluation of algorithms for storage reclamation in object databases,data
management_data_management.a0133481.txt,towards sensor database systems,data
management_data_management.a9978217.txt,active declarative integration rules for developing distributed multi-tiered applications,data
management_data_management.a0097438.txt,control of systems with mems sensors and actuators via data mining techniques,data
management_data_management.a9408392.txt,allocation and replication for distributed database systems on general networks,data
management_data_management.a9117089.txt,the role of the intermediate form in data translations,data
management_data_management.a9876037.txt,distributed cooperative digital archives for scientific and geospatial data,data
management_data_management.a9210220.txt,updates in deductive databases,data
management_data_management.a0133802.txt,intelligent sampling for learning complex query concepts,data
management_data_management.a9802160.txt,workshop on managing and mining massive data (m3d-98),data
management_data_management.a9712967.txt,adaptive data replication in distributed systems,data
management_data_management.a0133825.txt,efficient indexing and data mining in spatio-temporal databases,data
management_data_management.a9801753.txt,workshop on distributed geolibraries spatial information resources,data
management_data_management.a9813584.txt,an online repository of large data sets for data mining and experimentation,data
management_data_management.a9010365.txt,transaction management in interpolation-based grid files,data
management_data_management.a9117095.txt,the role of the intermediate form in data translation,data
management_data_management.a9812040.txt,information discovery and communication with meta-documents over the world-wide web,data
management_data_management.a9815933.txt,industrial-academic workshop to foster collaboration in database,data
management_data_management.a9631214.txt,constructing and manipulating presentations in multmedia databases,data
management_data_management.a0099128.txt,workshop series on mobile computing,data
management_data_management.a9117153.txt,"integrating data management, analysis and visualization for scientific",data
management_data_management.a9209029.txt,declarative features for deductive databases,data
management_data_management.a9116451.txt,"management, analysis and representation of large scientific databases",data
management_data_management.a0083312.txt,query optimization for multi-database and data warehousing,data
management_data_management.a9509819.txt,a query-based approach to database mining database tools for rule discovery,data
management_data_management.a0208574.txt,webscales-towards a large scale metasearch engine,data
management_data_management.a0120939.txt,database query processing in main memory,data
management_data_management.a0208539.txt,a novel approach to video database indexing via semantic classification,data
management_data_management.a9224640.txt,high-dimensional databases for continuous physical phenomenawith uncertainty,data
management_data_management.a9631952.txt,data warehousing and decision support,data
management_data_management.a9619915.txt,a new generic indexing technology for digital library support,data
management_data_management.a9502702.txt,fast access techniques for video information retrieval,data
management_data_management.a9013126.txt,earth science database access system for networked computers,data
management_data_management.a9012189.txt,identification & reconciliation of semantic conflicts using metadata,data
management_data_management.a0209190.txt,geographic management of data infrastructureless environment,data
management_data_management.a9811980.txt,establishing dynamic cost models for multidatabase systems,data
management_data_management.a9307165.txt,data management for mobile computing-exploratory proposal,data
management_data_management.a9309225.txt,efficient processing of queries in heterogeneous database systems,data
management_data_management.a9004137.txt,typed programming languages for databases,data
management_data_management.a9309609.txt,scalable technologies for highly parallel database management system implementation,data
management_data_management.a9116646.txt,integrated data exchange and concurrent designs for engineered facilities,data
management_data_management.a9733678.txt,towards practical constraint query algebras,data
management_data_management.a0208758.txt,a qos management scheme for real-time data services,data
management_data_management.a9004998.txt,locks with constrained sharing a proposal,data
management_data_management.a0118173.txt,management and processing of data streams,data
management_data_management.a9309230.txt,"formalization, inference, and query processing of spatial relations in geographic databases",data
management_data_management.a9201596.txt,main memory database recovery issues,data
management_data_management.a0092955.txt,efficient management of web data,data
management_data_management.a0119276.txt,"order, spacing, and clustering in visual exploration of large scale data",data
management_data_management.a9021028.txt,time in object databases,data
management_data_management.a0097855.txt,keeping found things found on the web how do users get back to relevant web pages?,data
management_data_management.a0093353.txt,ubiquitous distributed knowledge discovery from heterogeneous data,data
management_data_management.a9117030.txt,data/knowledge bases for biological papers and techniques,data
management_data_management.a9304091.txt,"workshop on an infrastructure for temporal databases; arlington, texas; june 14-16, 1993",data
management_data_management.a9501812.txt,performance evaluation of optimistic replicated file system architectures,data
